,Link,Title,Company,Location,Salary,Days
669,https://in.indeed.com/company/IDS-Omni-Solutions-Pvt.-Ltd./jobs/Male-Data-Analyst-40565a3c151a71c1?fccid=4b58288030d5cdd1&vjs=3,Male Data Analyst,IDS Omni Solutions Pvt. Ltd.,"Sector 8 Chandigarh, Chandigarh","₹15,000 - ₹20,000 a month",EmployerActive 2 days ago
724,https://in.indeed.com/company/Ergode-IT-Services-Pvt.-ltd./jobs/Data-Analyst-417627b5ad4f05af?fccid=1e42f15c10952826&vjs=3,Data Analyst,Ergode IT Services Pvt. ltd.,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month",EmployerActive 1 day ago
855,https://in.indeed.com/company/Platform-65-Train-Theme-Restaurant/jobs/Data-Analyst-cb17caaea5f1ae16?fccid=94709f798addc8a8&vjs=3,Data Analyst,Platform 65 Train Theme Restaurant,"Medchal, Andhra Pradesh","₹15,000 - ₹20,000 a month",EmployerActive 9 days ago
653,https://in.indeed.com/company/Bhugol-Analytics-Pvt-Ltd/jobs/Real-Estate-Research-Analyst-At-Cre-Matrix-134f880308b737a8?fccid=4ac107c1733543d7&vjs=3,Real Estate Research Analyst at CRE Matrix,Bhugol Analytics Pvt Ltd,"Delhi, Delhi+1 location","₹2,20,179 - ₹10,00,000 a year",EmployerActive 3 days ago
664,https://in.indeed.com/company/STATXO-ANALYTICS-PVT.-LTD./jobs/Senior-Research-Analyst-abea42916d9bb5d3?fccid=0cf30ff8c0a5fc8e&vjs=3,Senior Research Analyst,STATXO ANALYTICS PVT. LTD.,"Hybrid remote in Gurgaon, Haryana","₹2,47,833 - ₹11,39,845 a year",EmployerActive 1 day ago
889,https://in.indeed.com/company/Suraj-Agro-Infrastructure-India-Pvt-Ltd/jobs/Data-Analyst-ecb1366f411f10ae?fccid=b3ddce7178426df5&vjs=3,Data Analyst,Kirtilal Kalidas Jewelers Pvt Ltd,"Coimbatore, Tamil Nadu","₹2,50,000 - ₹3,00,000 a year",EmployerActive 1 day ago
844,https://in.indeed.com/company/Golden-Hills-Capital-India-Pvt-Ltd/jobs/Financial-Analyst-644d59000ff406e6?fccid=8c2717762b924765&vjs=3,Financial Analyst,Golden Hills Capital India Pvt Ltd,"Hyderabad, Telangana","₹2,50,000 - ₹5,00,000 a year",EmployerActive 4 days ago
663,https://in.indeed.com/company/FullStackTechies/jobs/Senior-Data-Analyst-e368ca29ffcdc501?fccid=9669c3f09d4d70b1&vjs=3,Senior Data Analyst,AIMLEAP,"Remote in Bengaluru, Karnataka","₹2,50,000 - ₹6,00,000 a year",EmployerActive 1 day ago
716,https://in.indeed.com/company/FullStackTechies/jobs/Senior-Data-Analyst-e368ca29ffcdc501?fccid=9669c3f09d4d70b1&vjs=3,Senior Data Analyst,AIMLEAP,"Remote in Bengaluru, Karnataka","₹2,50,000 - ₹6,00,000 a year",EmployerActive 1 day ago
380,https://in.indeed.com/company/Greves-Protection-Management-Pvt.-Ltd./jobs/Reporting-Analyst-a87c9867d2aa31a3?fccid=99142fffa9772474&vjs=3,Reporting Analyst,Greves Protection Management Pvt. Ltd.,"Vikaspuri, Delhi, Delhi","₹20,000 - ₹25,000 a month",EmployerActive 1 day ago
